student_id,semester,hostel_resident,internet_access,attendance_percentage,avg_assignment_score,lms_login_frequency,library_visits_per_month,disciplinary_actions,dropout
S01667,7,1,1,83.35,40.71,28.0,2.0,0,0
S01668,6,0,1,87.22,59.02,19.0,0.0,0,0
S01669,5,0,1,72.56,43.24,27.0,2.0,1,0
S01670,6,1,1,70.88,98.09983515578752,14.0,7.0,0,0
S01671,7,0,0,69.27,53.41,24.0,1.0,1,0
S01672,5,0,0,100.0,45.32,35.0,3.0,0,0
S01673,3,0,1,63.86,36.68,17.0,1.0,0,0
S01674,7,0,1,54.21,20.71,0.0,3.0,1,0
S01675,6,1,1,,61.68,38.0,2.0,0,0
S01676,8,0,0,64.0,40.59,11.0,1.0,1,1
S01677,2,0,0,90.9,46.97,31.0,4.0,0,0
S01678,4,1,1,51.66,42.26,9.0,4.0,0,0
S01679,8,0,0,63.58,41.28,28.0,1.0,1,0
S01680,5,0,1,74.86,45.77,,1.0,0,0
S01681,8,1,1,91.02,51.9,23.0,5.0,0,0
S01682,1,1,1,82.7,65.67,31.0,,0,0
S01683,1,1,1,96.29,24.87,21.0,5.0,0,0
S01684,7,1,1,77.19,46.76,21.0,7.0,0,0
S01685,3,0,1,68.95,63.77,27.0,6.0,1,0
S01686,5,0,0,84.83,40.81,39.0,0.0,0,0
S01687,4,1,0,51.49,14.35,7.0,5.0,1,1
S01688,4,1,1,46.35,24.91,8.0,6.0,0,1
S01689,8,1,1,86.64,62.77,31.0,8.0,0,0
S01690,1,0,1,75.16,37.45,8.0,5.0,2,0
S01691,7,0,1,86.46,51.44,38.0,1.0,2,0
S01692,8,0,0,59.21,28.59,10.0,3.0,0,0
S01693,6,1,1,91.27,45.87,26.0,,0,0
S01694,4,1,1,82.06,42.2,28.0,4.0,1,0
S01695,2,0,0,71.53,26.52,23.0,4.0,1,0
S01696,6,0,1,75.11,59.3,16.0,5.0,0,0
S01697,4,0,1,77.2,,38.0,0.0,1,0
S01698,2,0,1,59.15,13.54,0.0,4.0,1,0
S01699,3,1,0,66.22,43.24,11.0,2.0,0,0
S01700,8,1,0,76.97,16.97,19.0,7.0,1,0
S01701,3,0,1,65.62,19.85,13.0,1.0,0,0
S01702,2,1,1,49.96,35.0,24.0,0.0,1,1
S01703,6,1,1,76.42,96.62721555850756,,3.0,0,0
S01704,2,0,1,84.54,58.99,39.0,3.0,1,0
S01705,8,0,1,88.03,39.08,26.0,1.0,1,0
S01706,7,0,1,79.98,34.68,14.0,1.0,1,1
S01707,8,0,1,84.27,,10.0,0.0,0,0
S01708,8,0,1,86.81,39.52,26.0,1.0,0,0
S01709,2,1,1,73.19,26.58,17.0,5.0,2,0
S01710,2,0,1,40.22,38.19,13.0,0.0,1,1
S01711,3,0,1,89.4,37.74,25.0,0.0,0,0
S01712,4,1,1,58.6,33.34,25.0,1.0,1,0
S01713,8,0,1,55.04,,15.0,3.0,1,0
S01714,6,1,1,55.45,22.53,13.0,,0,0
S01715,6,1,1,100.0,45.49,40.0,6.0,0,0
S01716,8,1,1,78.61,96.83776000445255,,4.0,1,0
S01717,6,1,1,56.38,,23.0,3.0,0,0
S01718,4,1,1,61.75,35.34,28.0,8.0,0,0
S01719,4,1,1,71.99,41.44,20.0,11.0,0,0
S01720,5,0,1,80.14,66.0,26.0,1.0,1,0
S01721,1,0,1,76.19,48.16,,4.0,0,0
S01722,6,0,1,58.07,18.12,0.0,0.0,0,1
S01723,6,0,1,76.76,,23.0,2.0,0,1
S01724,6,0,1,62.83,20.55,17.0,2.0,0,0
S01725,5,0,0,87.7,68.16,,1.0,0,0
S01726,7,0,1,72.84,96.96861568597907,16.0,0.0,1,0
S01727,8,0,0,60.61,40.86,27.0,5.0,0,0
S01728,5,0,1,82.33,48.39,20.0,2.0,1,0
S01729,4,1,0,77.75,29.84,,5.0,1,0
S01730,1,1,0,64.88,36.88,15.0,9.0,0,1
S01731,7,1,1,82.95,48.77,36.0,2.0,0,0
S01732,8,0,1,81.44,48.16,9.0,3.0,2,0
S01733,6,1,1,90.03,55.94,43.0,5.0,1,0
S01734,7,1,1,82.65,43.91,38.0,7.0,0,0
S01735,7,0,1,68.79,39.04,17.0,0.0,2,0
S01736,7,1,0,46.64,25.13,22.0,1.0,1,1
S01737,5,0,1,74.8,47.73,24.0,0.0,0,0
S01738,1,1,0,77.13,49.52,37.0,2.0,0,0
S01739,1,1,0,72.77,53.87,30.0,3.0,1,0
S01740,2,0,0,26.84,13.27,,3.0,1,0
S01741,4,1,1,82.18,55.43,,6.0,0,0
S01742,6,0,1,58.32,36.75,,6.0,1,0
S01743,4,0,0,82.29,39.17,,5.0,0,0
S01744,1,0,1,97.51,62.45,27.0,3.0,0,0
S01745,2,0,1,68.21,53.74,39.0,2.0,0,0
S01746,8,0,1,78.58,52.41,29.0,1.0,0,0
S01747,8,1,1,72.49,48.5,30.0,3.0,1,0
S01748,4,0,0,79.88,53.59,29.0,2.0,0,0
S01749,7,0,1,73.55,40.46,27.0,2.0,0,1
S01750,6,1,1,64.25,39.08,15.0,4.0,0,0
S01751,8,0,1,58.43,23.99,12.0,3.0,0,0
S01752,8,0,1,95.86,43.95,27.0,3.0,1,0
S01753,6,1,1,78.58,27.85,3.0,0.0,0,0
S01754,4,1,1,84.46,,26.0,7.0,0,0
S01755,6,0,1,77.99,31.85,26.0,2.0,0,0
S01756,3,0,1,86.64,,23.0,2.0,0,0
S01757,3,1,1,58.56,15.8,17.0,6.0,3,0
S01758,5,1,1,73.25,38.85,27.0,2.0,0,0
S01759,5,0,1,79.58,97.56503538789724,32.0,,0,0
S01760,5,0,0,91.39,43.28,20.0,3.0,0,0
S01761,4,0,0,100.0,49.06,26.0,2.0,0,0
S01762,4,1,1,78.11,45.04,31.0,2.0,0,0
S01763,1,1,1,62.08,10.56,,2.0,1,0
S01764,5,1,1,54.07,36.15,27.0,3.0,0,0
S01765,5,0,0,58.43,,28.0,0.0,2,0
S01766,8,1,0,60.39,52.51,38.0,4.0,1,0
S01767,5,1,1,28.48,8.45,,1.0,1,1
S01768,4,0,1,61.87,54.88,31.0,1.0,0,0
S01769,1,1,1,82.75,,19.0,5.0,1,0
S01770,2,0,1,73.13,60.03,42.0,4.0,0,0
S01771,3,0,0,68.12,36.42,25.0,6.0,1,1
S01772,4,1,0,47.67,42.49,18.0,3.0,1,1
S01773,3,0,0,87.76,48.08,36.0,4.0,0,0
S01774,4,1,1,79.68,42.41,14.0,5.0,0,0
S01775,7,0,1,71.81,35.92,14.0,0.0,2,0
S01776,2,0,0,38.96,,11.0,5.0,1,1
S01777,3,0,1,64.64,52.78,23.0,1.0,0,0
S01778,2,0,1,78.51,48.48,41.0,3.0,0,0
S01779,3,0,1,71.57,23.97,15.0,0.0,0,0
S01780,6,1,1,74.88,,,3.0,0,0
S01781,1,0,1,82.28,52.86,24.0,0.0,0,0
S01782,3,0,0,74.32,56.41,21.0,0.0,1,0
S01783,1,1,1,81.75,36.21,25.0,4.0,0,0
S01784,8,0,1,,35.69,15.0,3.0,1,0
S01785,6,1,1,53.66,26.47,20.0,,1,0
S01786,2,0,1,79.16,97.1246582682044,22.0,2.0,0,0
S01787,2,0,1,82.24,47.46,15.0,2.0,1,0
S01788,1,1,1,79.78,32.98,23.0,3.0,0,0
S01789,4,1,1,73.97,50.0,27.0,2.0,0,0
S01790,7,1,1,67.14,36.87,9.0,6.0,1,0
S01791,5,0,1,75.16,39.64,28.0,8.0,0,0
S01792,8,0,1,77.69,51.78,34.0,2.0,0,0
S01793,3,1,1,78.59,58.45,37.0,5.0,0,0
S01794,3,1,1,100.0,40.43,35.0,6.0,0,0
S01795,4,1,1,58.19,27.9,3.0,5.0,0,0
S01796,2,1,1,100.0,63.83,38.0,4.0,0,0
S01797,8,1,1,53.15,30.6,23.0,2.0,0,0
S01798,2,0,1,77.79,56.43,19.0,1.0,1,0
S01799,4,1,1,54.08,31.3,15.0,4.0,0,0
S01800,5,0,1,76.59,66.9,28.0,2.0,0,0
S01801,1,0,1,86.73,70.4,42.0,0.0,0,0
S01802,4,1,1,72.49,57.9,21.0,7.0,0,0
S01803,4,0,1,86.6,59.75,35.0,2.0,1,0
S01804,3,0,1,65.64,49.48,23.0,2.0,0,0
S01805,2,1,1,41.25,20.58,13.0,5.0,2,1
S01806,1,1,0,81.4,71.76,36.0,0.0,0,0
S01807,1,0,1,72.46,26.18,16.0,0.0,0,0
S01808,4,1,1,64.81,55.23,,,2,0
S01809,1,0,1,65.84,34.98,20.0,2.0,1,0
S01810,8,1,1,78.1,24.3,13.0,2.0,0,0
S01811,2,0,0,59.78,44.24,28.0,3.0,1,0
S01812,6,0,0,77.63,45.91,31.0,2.0,0,0
S01813,6,0,0,89.83,57.02,29.0,4.0,0,0
S01814,4,0,1,100.0,74.8,30.0,1.0,0,0
S01815,8,0,0,93.07,40.82,30.0,1.0,0,0
S01816,1,0,1,74.43,60.01,29.0,,0,0
S01817,2,1,0,75.86,50.12,24.0,1.0,0,0
S01818,3,0,1,66.0,42.7,15.0,3.0,1,0
S01819,2,0,0,65.02,16.33,16.0,5.0,0,0
S01820,3,1,1,85.08,52.91,27.0,1.0,0,0
S01821,3,1,1,67.39,44.84,13.0,9.0,0,0
S01822,7,1,0,77.49,65.01,27.0,4.0,0,0
S01823,3,0,1,,13.21,11.0,2.0,0,0
S01824,8,0,0,92.55,45.15,22.0,4.0,1,1
S01825,7,1,1,67.16,77.88,46.0,4.0,0,0
S01826,8,1,1,88.32,36.81,44.0,6.0,1,0
S01827,1,0,1,61.44,46.58,20.0,3.0,0,0
S01828,8,1,1,60.65,40.03,25.0,,0,0
S01829,5,1,1,91.92,49.59,38.0,0.0,0,0
S01830,8,1,1,62.61,30.56,18.0,4.0,2,0
S01831,3,0,1,48.48,53.37,16.0,0.0,1,0
S01832,8,1,1,56.4,39.37,15.0,5.0,1,0
S01833,5,0,1,84.85,51.5,37.0,2.0,0,0
S01834,1,1,0,83.41,44.58,37.0,4.0,0,0
S01835,4,0,0,60.56,49.34,31.0,4.0,0,0
S01836,2,0,1,62.52,32.96,21.0,0.0,0,0
S01837,8,0,1,,45.93,43.0,3.0,0,0
S01838,3,1,1,91.74,49.56,29.0,3.0,0,0
S01839,2,1,1,70.97,52.32,38.0,1.0,1,0
S01840,5,1,0,80.31,41.84,22.0,7.0,0,0
S01841,4,1,1,85.1,61.01,17.0,1.0,0,0
S01842,1,1,1,100.0,73.17,49.0,3.0,0,0
S01843,7,1,1,54.66,29.87,21.0,5.0,0,0
S01844,7,0,1,61.97,44.77,23.0,5.0,0,0
S01845,6,1,0,64.4,31.67,17.0,1.0,0,0
S01846,5,0,1,84.41,42.45,20.0,0.0,0,0
S01847,4,0,1,1.1092021258065268,99.22903682038888,15.0,3.0,1,0
S01848,5,0,1,76.68,38.79,25.0,4.0,1,0
S01849,5,0,1,73.83,,22.0,5.0,0,0
S01850,2,1,1,72.03,43.37,7.0,2.0,0,0
S01851,1,1,1,73.61,38.57,37.0,4.0,0,0
S01852,3,0,1,87.45,64.85,25.0,0.0,0,0
S01853,4,1,1,57.44,41.84,27.0,4.0,0,0
S01854,2,0,1,69.77,15.01,16.0,1.0,0,0
S01855,1,0,0,53.77,32.42,17.0,0.0,1,0
S01856,7,0,1,75.4,52.13,31.0,0.0,0,0
S01857,3,0,1,69.07,34.82,28.0,1.0,0,0
S01858,5,0,1,88.04,95.39434607905577,26.0,3.0,0,0
S01859,5,0,1,71.93,32.94,26.0,0.0,0,0
S01860,6,0,0,65.34,44.33,25.0,1.0,0,0
S01861,6,0,0,68.3,30.5,20.0,5.0,0,0
S01862,3,1,0,97.85,44.3,23.0,5.0,0,0
S01863,7,0,1,48.45,25.08,9.0,0.0,0,1
S01864,3,0,1,62.59,24.93,16.0,2.0,0,0
S01865,7,0,0,72.54,37.07,23.0,3.0,1,0
S01866,4,0,1,62.45,34.35,32.0,1.0,0,0
S01867,1,0,1,79.36,,32.0,2.0,0,0
S01868,7,0,1,71.15,33.28,,0.0,0,0
S01869,1,1,1,75.84,99.09951691616378,38.0,2.0,0,0
S01870,7,1,1,73.77,34.78,22.0,1.0,2,0
S01871,1,1,0,70.45,41.08,27.0,1.0,0,0
S01872,2,1,1,52.64,26.03,8.0,0.0,0,0
S01873,5,0,1,74.64,57.35,20.0,2.0,0,0
S01874,8,0,0,45.55,33.16,21.0,0.0,2,0
S01875,4,0,1,61.92,21.75,12.0,5.0,0,1
S01876,1,0,1,79.34,27.66,26.0,2.0,0,0
S01877,2,0,1,89.85,43.08,33.0,0.0,0,0
S01878,8,0,1,100.0,53.22,24.0,0.0,0,0
S01879,6,1,1,65.58,97.49969034527294,6.0,7.0,0,0
S01880,1,0,1,59.02,49.39,25.0,3.0,0,0
S01881,4,0,1,79.83,95.85256525671703,59.0,0.0,0,0
S01882,3,1,1,100.0,71.47,36.0,9.0,0,0
S01883,2,0,1,94.99,52.09,36.0,6.0,0,0
S01884,7,1,1,56.47,19.2,10.0,1.0,0,1
S01885,5,1,1,69.89,34.7,33.0,2.0,0,0
S01886,2,1,1,84.76,50.92,24.0,5.0,1,0
S01887,6,0,1,85.8,65.56,37.0,6.0,1,0
S01888,4,0,0,80.88,51.83,30.0,2.0,0,0
S01889,1,1,1,65.27,26.55,25.0,6.0,1,0
S01890,4,1,0,80.74,,30.0,7.0,0,0
S01891,2,1,1,85.94,48.6,32.0,1.0,0,0
S01892,2,0,1,58.02,11.56,20.0,1.0,1,0
S01893,8,0,1,91.95,55.67,37.0,2.0,0,0
S01894,6,0,1,86.88,54.61,22.0,3.0,1,0
S01895,2,0,1,60.87,49.15,,1.0,1,0
S01896,7,0,1,85.87,62.04,39.0,2.0,0,0
S01897,5,1,0,84.2,31.74,28.0,10.0,0,0
S01898,7,0,0,84.77,37.2,24.0,2.0,0,0
S01899,6,1,0,95.64,67.18,39.0,0.0,0,0
S01900,3,1,1,71.84,31.82,29.0,3.0,1,0
S01901,5,0,1,76.97,96.74052718543864,14.0,,0,0
S01902,5,0,1,32.42,15.11,14.0,2.0,0,1
S01903,6,1,1,88.74,49.86,30.0,5.0,0,0
S01904,2,0,0,87.29,40.73,34.0,2.0,0,0
S01905,3,0,1,92.34,95.77247510273415,30.0,1.0,0,0
S01906,2,1,1,57.95,29.43,21.0,4.0,0,0
S01907,3,1,1,,58.79,13.0,7.0,0,0
S01908,2,1,0,87.28,40.86,21.0,5.0,0,0
S01909,1,1,1,62.24,60.94,25.0,3.0,1,0
S01910,8,0,1,87.84,64.71,49.0,5.0,0,0
S01911,1,1,1,78.95,43.62,28.0,4.0,0,0
S01912,8,1,1,46.53,95.95884597514559,8.0,6.0,1,0
S01913,1,1,1,80.77,43.94,27.0,0.0,0,0
S01914,7,1,1,60.49,25.31,11.0,3.0,0,0
S01915,3,1,1,46.86,30.29,23.0,5.0,0,0
S01916,5,1,1,77.5,41.07,25.0,1.0,0,0
S01917,3,0,1,71.02,59.12,30.0,1.0,0,0
S01918,4,1,1,93.06,59.04,29.0,7.0,0,0
S01919,4,0,1,74.73,56.34,33.0,0.0,0,0
S01920,5,1,1,83.68,52.31,14.0,5.0,0,0
S01921,4,1,1,79.63,40.1,25.0,,0,0
S01922,5,1,1,87.31,38.55,32.0,3.0,0,0
S01923,7,0,0,58.7,34.96,15.0,4.0,0,0
S01924,4,0,1,74.98,43.18,26.0,0.0,1,0
S01925,3,0,1,69.89,38.55,,1.0,0,0
S01926,2,0,0,81.81,73.42,34.0,3.0,1,0
S01927,3,0,0,75.84,50.85,29.0,3.0,0,0
S01928,2,1,1,62.79,25.84,22.0,0.0,1,0
S01929,2,0,1,66.93,43.62,28.0,0.0,1,0
S01930,8,1,1,96.73,53.39,20.0,5.0,0,0
S01931,1,0,0,46.58,15.1,7.0,4.0,0,0
S01932,4,1,1,82.64,95.01064334583725,15.0,0.0,0,0
S01933,7,1,1,90.62,41.91,34.0,,0,0
S01934,8,1,1,,38.72,29.0,2.0,0,0
S01935,2,1,1,100.0,58.99,44.0,1.0,0,0
S01936,2,1,1,86.08,45.31,30.0,2.0,0,0
S01937,3,1,0,77.76,41.79,19.0,9.0,1,0
S01938,5,1,1,65.0,29.03,21.0,4.0,0,0
S01939,8,0,0,78.04,40.23,10.0,3.0,0,0
S01940,2,0,1,82.23,47.74,23.0,2.0,0,0
S01941,2,1,0,72.05,0.0,4.0,8.0,0,0
S01942,3,0,1,60.86,97.25314807122255,21.0,0.0,0,0
S01943,7,0,1,53.94,33.56,14.0,6.0,1,0
S01944,1,1,0,74.78,39.15,22.0,6.0,0,0
S01945,4,0,0,49.8,15.13,,3.0,1,1
S01946,1,1,0,64.93,40.42,15.0,7.0,1,0
S01947,2,1,0,35.52,15.39,15.0,3.0,1,1
S01948,8,1,1,84.5,36.98,15.0,3.0,0,0
S01949,1,1,1,,49.22,33.0,7.0,0,0
S01950,3,1,1,73.18,33.43,,2.0,0,0
S01951,8,1,0,99.47,46.69,19.0,4.0,0,0
S01952,5,1,0,92.21,40.28,40.0,4.0,0,0
S01953,1,0,0,79.2,53.89,36.0,0.0,0,0
S01954,4,1,0,70.3,28.38,17.0,1.0,1,1
S01955,8,1,1,66.76,33.19,16.0,3.0,1,0
S01956,4,0,1,80.44,38.74,23.0,3.0,1,0
S01957,5,0,1,69.88,35.25,15.0,2.0,0,1
S01958,5,1,1,80.22,40.3,20.0,3.0,1,0
S01959,6,0,1,81.34,42.82,29.0,1.0,1,0
S01960,2,1,1,68.56,47.81,38.0,4.0,0,0
S01961,7,0,0,88.44,56.67,25.0,4.0,0,0
S01962,8,0,1,68.57,44.99,29.0,6.0,1,0
S01963,2,1,1,72.32,52.04,25.0,2.0,0,0
S01964,7,0,0,57.34,37.23,4.0,1.0,0,1
S01965,7,0,1,67.94,33.16,21.0,6.0,2,0
S01966,6,1,1,100.0,71.72,31.0,4.0,0,0
S01967,3,0,1,58.49,33.91,29.0,1.0,0,0
S01968,4,0,1,78.57,37.0,37.0,1.0,1,0
S01969,7,1,1,65.18,39.76,23.0,1.0,0,0
S01970,2,1,1,38.79,31.15,20.0,3.0,3,1
S01971,7,1,1,80.38,63.82,24.0,3.0,0,0
S01972,8,0,0,63.66,48.03,28.0,4.0,1,0
S01973,6,0,0,76.79,56.05,25.0,2.0,0,0
S01974,3,1,1,86.85,65.83,37.0,1.0,0,0
S01975,5,1,0,75.52,40.93,33.0,5.0,1,0
S01976,1,0,1,76.92,51.09,30.0,4.0,1,0
S01977,8,1,1,58.98,23.4,12.0,1.0,1,0
S01978,3,0,1,82.6,45.63,23.0,0.0,1,0
S01979,1,1,0,69.15,41.85,27.0,5.0,1,0
S01980,7,1,0,42.02,29.72,,2.0,0,1
S01981,6,1,0,84.41,64.13,28.0,3.0,0,0
S01982,5,1,1,88.99,62.06,26.0,3.0,1,0
S01983,1,0,1,94.22,,32.0,3.0,0,0
S01984,7,1,1,100.0,51.45,30.0,3.0,0,0
S01985,6,0,1,83.6,57.63,24.0,2.0,0,0
S01986,7,1,1,79.71,54.79,41.0,0.0,2,0
S01987,7,1,1,88.37,61.14,25.0,3.0,0,0
S01988,2,0,1,58.7,97.1373182186131,22.0,2.0,0,0
S01989,2,0,1,46.92,26.64,15.0,0.0,0,1
S01990,8,0,1,64.84,43.84,10.0,7.0,1,0
S01991,5,0,1,91.16,33.87,19.0,6.0,0,0
S01992,4,0,1,62.08,19.09,18.0,5.0,1,0
S01993,3,1,1,,21.77,9.0,3.0,0,0
S01994,6,0,1,80.6,53.54,40.0,0.0,1,0
S01995,7,1,1,75.66,33.98,21.0,2.0,1,0
S01996,1,1,1,3.318159097999919,97.28569322229826,12.0,1.0,2,0
S01997,5,1,0,77.14,57.58,34.0,4.0,1,0
S01998,8,0,1,65.68,29.31,19.0,3.0,0,0
S01999,3,1,1,97.54,62.82,37.0,2.0,0,0
S02000,3,1,1,89.05,48.51,24.0,8.0,0,0
S02001,8,1,1,,16.87,21.0,4.0,0,0
S02002,1,1,1,98.49,49.77,40.0,4.0,0,0
S02003,4,1,1,77.16,44.59,17.0,3.0,1,0
S02004,4,0,0,,33.83,18.0,4.0,1,1
S02005,7,1,1,70.83,15.82,3.0,0.0,0,0
S02006,2,0,1,96.53,57.79,,2.0,0,0
S02007,4,1,0,59.7,9.37,14.0,1.0,1,0
S02008,2,0,1,70.98,38.65,21.0,1.0,0,0
S02009,7,0,1,51.6,33.64,14.0,1.0,1,0
S02010,6,0,1,53.98,9.86,8.0,2.0,0,0
S02011,4,0,1,59.49,18.68,10.0,5.0,1,0
S02012,4,1,1,53.59,17.97,20.0,1.0,0,0
S02013,2,0,0,62.73,38.88,24.0,2.0,0,0
S02014,8,1,1,98.07,59.43,25.0,2.0,0,0
S02015,6,0,0,71.46,58.66,27.0,3.0,1,0
S02016,3,1,1,83.78,33.86,31.0,4.0,0,0
S02017,4,0,1,88.37,47.44,25.0,0.0,0,0
S02018,6,0,1,55.37,35.15,6.0,4.0,0,0
S02019,6,0,1,59.53,35.74,18.0,,1,1
S02020,4,1,1,83.49,34.11,29.0,2.0,0,0
S02021,3,1,1,62.49,99.17142418249304,19.0,0.0,0,0
S02022,6,1,1,82.49,53.59,21.0,0.0,0,0
S02023,6,0,1,97.16,56.54,35.0,2.0,0,0
S02024,5,0,0,50.17,39.36,25.0,5.0,2,0
S02025,1,0,1,66.65,43.09,14.0,2.0,2,0
S02026,4,0,1,69.03,23.06,19.0,2.0,0,0
S02027,5,1,0,64.1,38.41,42.0,0.0,0,0
S02028,8,0,1,62.88,28.57,21.0,6.0,1,0
S02029,5,1,1,64.62,29.77,10.0,5.0,1,0
S02030,3,1,0,71.77,37.44,19.0,8.0,1,0
S02031,5,0,1,74.47,,17.0,7.0,0,0
S02032,2,0,1,86.3,42.3,31.0,0.0,1,0
S02033,1,0,1,71.62,95.21838422127195,57.0,2.0,0,0
S02034,6,0,1,88.77,61.19,23.0,4.0,0,0
S02035,8,0,1,63.12,51.2,,3.0,1,0
S02036,7,1,1,53.98,47.15,17.0,9.0,0,0
S02037,5,0,0,67.43,95.57016358413651,17.0,4.0,1,0
S02038,1,1,1,78.94,24.2,15.0,,2,0
S02039,8,1,1,84.91,31.09,20.0,1.0,1,0
S02040,4,1,1,93.9,49.49,20.0,5.0,0,0
S02041,3,1,1,76.35,37.67,22.0,11.0,0,0
S02042,8,0,0,83.3,35.51,19.0,3.0,0,1
S02043,6,0,1,92.53,63.11,36.0,2.0,0,0
S02044,6,0,1,60.31,29.78,14.0,0.0,2,0
S02045,3,1,1,68.85,28.34,28.0,8.0,0,0
S02046,8,1,0,100.0,46.13,36.0,9.0,0,0
S02047,4,0,1,84.85,59.93,32.0,4.0,1,0
S02048,5,0,0,79.66,98.71277666633911,32.0,5.0,0,0
S02049,7,0,1,85.41,42.41,,0.0,0,0
S02050,6,0,1,51.96,99.53332700370565,8.0,2.0,0,1
S02051,2,1,1,62.3,45.49,26.0,5.0,0,0
S02052,3,0,1,56.82,47.4,20.0,0.0,2,0
S02053,3,0,1,78.28,56.11,33.0,4.0,0,0
S02054,8,0,1,66.47,43.12,21.0,3.0,1,0
S02055,6,0,1,73.43,47.88,32.0,0.0,1,0
S02056,3,0,1,67.33,34.6,10.0,0.0,0,0
S02057,6,1,0,47.6,32.88,6.0,2.0,0,0
S02058,6,0,0,85.27,36.93,23.0,4.0,0,0
S02059,4,1,1,45.57,21.55,12.0,1.0,2,1
S02060,4,0,1,61.09,23.16,19.0,4.0,2,0
S02061,8,0,0,52.27,27.6,9.0,2.0,0,0
S02062,5,0,1,58.8,35.36,10.0,2.0,1,0
S02063,2,0,0,75.03,43.84,18.0,3.0,1,0
S02064,6,0,1,90.53,33.67,15.0,0.0,0,0
S02065,5,0,0,48.59,95.61901530834446,58.0,4.0,2,1
S02066,5,1,1,63.64,99.45387636721034,19.0,6.0,0,0
S02067,6,1,1,45.76,24.16,17.0,7.0,1,0
S02068,8,1,1,62.92,44.91,20.0,0.0,0,0
S02069,3,0,1,73.08,48.37,37.0,0.0,0,0
S02070,4,1,1,83.51,47.63,33.0,1.0,2,0
S02071,2,1,0,40.22,49.75,17.0,8.0,0,0
S02072,6,0,1,80.26,49.33,28.0,2.0,0,0
S02073,4,0,1,57.41,98.78078418267269,21.0,2.0,0,0
S02074,3,0,1,53.76,26.01,14.0,2.0,0,0
S02075,6,1,1,73.01,37.4,24.0,3.0,0,0
S02076,4,0,1,81.41,53.71,41.0,3.0,1,0
S02077,4,0,1,70.49,30.97,21.0,3.0,0,0
S02078,4,1,0,55.6,,6.0,3.0,2,0
S02079,3,0,0,70.49,37.68,27.0,1.0,0,1
S02080,2,1,1,61.12,44.44,26.0,2.0,1,1
S02081,7,1,0,81.06,,27.0,3.0,0,0
S02082,1,1,1,88.13,24.06,13.0,2.0,0,0
S02083,3,1,1,87.17,56.8,38.0,5.0,0,0
S02084,6,0,0,71.7,38.98,24.0,0.0,0,0
S02085,2,1,0,88.84,74.07,26.0,3.0,0,0
S02086,6,1,1,56.69,33.2,26.0,1.0,1,0
S02087,6,1,1,98.74,36.14,16.0,3.0,0,0
S02088,6,0,1,56.6,39.36,18.0,5.0,1,0
S02089,3,0,1,41.55,27.51,7.0,1.0,2,1
S02090,1,0,1,92.48,55.76,42.0,3.0,0,0
S02091,8,0,1,61.35,97.22749015711251,57.0,5.0,0,0
S02092,3,1,0,73.75,48.82,16.0,8.0,0,0
S02093,7,1,1,56.54,48.56,26.0,0.0,0,0
S02094,2,1,1,100.0,52.05,13.0,3.0,0,0
S02095,2,1,0,99.33,51.28,36.0,6.0,0,0
S02096,7,0,1,95.2,35.74,21.0,7.0,1,0
S02097,8,0,1,73.33,32.29,19.0,2.0,0,0
S02098,7,0,1,86.71,57.44,26.0,2.0,0,0
S02099,7,0,0,71.2,48.55,,1.0,0,0
S02100,2,0,0,88.83,40.31,46.0,1.0,0,0
S02101,8,0,1,65.84,9.72,6.0,5.0,0,1
S02102,6,0,1,95.77,99.36012834061472,35.0,3.0,0,0
S02103,2,1,0,65.09,49.68,38.0,4.0,0,0
S02104,2,0,0,66.79,31.17,,1.0,2,0
S02105,7,0,1,65.0,29.87,15.0,3.0,0,0
S02106,3,0,1,74.89,41.94,25.0,5.0,0,0
S02107,7,1,0,66.18,35.67,27.0,8.0,0,0
S02108,2,1,1,79.31,41.22,30.0,4.0,1,0
S02109,3,0,1,64.79,48.69,17.0,2.0,0,0
S02110,3,0,1,83.86,51.69,,3.0,1,0
S02111,3,1,1,94.78,67.82,41.0,4.0,0,0
S02112,6,1,1,73.16,53.25,17.0,1.0,0,0
S02113,8,1,1,100.0,59.62,17.0,4.0,0,0
S02114,8,0,0,88.91,34.05,17.0,0.0,0,1
S02115,6,1,1,100.0,59.87,28.0,7.0,0,0
S02116,2,1,0,71.08,27.14,34.0,3.0,1,0
S02117,8,0,1,3.0964423345267647,95.5798903952006,4.0,1.0,0,0
S02118,5,1,1,61.41,49.83,31.0,2.0,0,0
S02119,5,0,0,62.94,33.97,30.0,2.0,1,0
S02120,6,1,0,57.7,37.05,19.0,0.0,0,0
S02121,7,0,1,39.06,31.99,0.0,2.0,1,0
S02122,8,0,1,87.37,43.3,18.0,4.0,0,0
S02123,5,1,1,44.1,18.48,7.0,5.0,1,1
S02124,5,1,0,85.93,52.06,41.0,7.0,0,0
S02125,6,0,1,100.0,96.7018009813086,28.0,0.0,0,0
S02126,3,1,0,60.33,95.38411475564979,12.0,5.0,0,0
S02127,3,0,1,77.81,42.95,26.0,2.0,1,0
S02128,6,0,1,66.02,34.45,9.0,0.0,0,0
S02129,1,1,1,84.41,44.62,27.0,7.0,1,0
S02130,3,0,1,54.08,23.93,10.0,3.0,0,0
S02131,6,0,0,70.02,50.27,43.0,3.0,1,0
S02132,8,1,1,88.82,34.68,21.0,5.0,0,0
